ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
41	"ENSG00000123560"	"ENSG00000123560"	chrX	+	103786464	103786726	103786464	103786621	103787797	103787966	41	79,42,16	52,22,14	60,33,6	83,28,5	155	50	0.0134480908508	0.0843310776885554	0.329,0.381,0.269	0.189,0.275,0.279	0.079
42	"ENSG00000172465"	"ENSG00000172465"	chrX	+	103629493	103629573	103629493	103629561	103629884	103630953	42	21,15,30	36,30,27	22,24,13	25,43,27	62	50	0.675502347847	1.0	0.32,0.287,0.473	0.415,0.31,0.28	0.025
43	"ENSG00000196507"	"ENSG00000196507"	chrX	+	103607905	103608070	103607905	103608058	103608603	103608673	43	28,23,13	60,37,49	18,12,12	47,42,24	62	50	0.536231640204	1.0	0.273,0.334,0.176	0.236,0.187,0.287	0.024
45	"ENSG00000215029"	"ENSG00000215029"	chrX	-	102463124	102463345	102463219	102463345	102462844	102463026	45	0,0,0	0,1,0	0,2,0	0,4,0	145	50	1	1.0	NA,0.0,NA	NA,0.147,NA	-0.147
47	"ENSG00000196440"	"ENSG00000196440"	chrX	+	101486022	101486098	101486022	101486092	101487192	101487272	47	7,1,0	22,13,11	0,4,4	43,26,16	56	50	0.366843190053	0.8714477057322861	0.221,0.064,0.0	0.0,0.121,0.182	-0.006
48	"ENSG00000102385"	"ENSG00000102385"	chrX	+	101242903	101243098	101242903	101242982	101245016	101245077	48	6,2,1	3,0,0	9,0,0	9,0,0	166	50	1	1.0	0.376,1.0,1.0	0.231,NA,NA	0.561
49	"ENSG00000188917"	"ENSG00000188917"	chrX	-	101042041	101042312	101042232	101042312	101041316	101041371	49	146,65,55	15,2,5	185,78,89	8,6,14	241	50	0.851207766459	1.0	0.669,0.871,0.695	0.828,0.73,0.569	0.036
50	"ENSG00000188917"	"ENSG00000188917"	chrX	-	101051250	101051733	101051643	101051733	101041316	101041371	50	93,73,45	2,0,0	218,35,58	16,0,2	443	50	0.000327718405861	0.005135404914299038	0.84,1.0,1.0	0.606,1.0,0.766	0.156
51	"ENSG00000188917"	"ENSG00000188917"	chrX	-	101051250	101051733	101051643	101051733	101042041	101042312	51	123,83,48	5,0,2	223,41,68	2,0,4	443	50	0.58445230383	1.0	0.735,1.0,0.73	0.926,1.0,0.657	-0.039
53	"ENSG00000094841"	"ENSG00000094841"	chrX	+	75300866	75301015	75300866	75300965	75303404	75304600	53	9,9,2	43,13,14	0,8,1	50,25,23	100	50	0.00656818892702	0.05031480574283245	0.095,0.257,0.067	0.0,0.138,0.021	0.087
54	"ENSG00000147133"	"ENSG00000147133"	chrX	+	71458240	71458366	71458240	71458357	71459149	71459251	54	122,26,27	0,1,3	38,26,37	0,0,0	59	50	0.854698513517	1.0	1.0,0.957,0.884	1.0,1.0,1.0	-0.053
55	"ENSG00000147133"	"ENSG00000147133"	chrX	+	71458240	71458366	71458240	71458357	71459551	71459708	55	276,80,65	0,3,2	190,72,90	8,0,0	59	50	0.283064573864	0.7423173146662502	1.0,0.958,0.965	0.953,1.0,1.0	-0.01
57	"ENSG00000147130"	"ENSG00000147130"	chrX	-	71246594	71246692	71246630	71246692	71246352	71246512	57	135,60,63	22,12,8	201,113,88	32,21,13	86	50	0.924044931218	1.0	0.781,0.744,0.821	0.785,0.758,0.797	0.002
59	"ENSG00000158485"	"ENSG00000158485"	chr1	-	158329369	158329648	158329534	158329648	158328920	158329014	59	305,89,81	53,1,7	489,88,71	42,8,3	215	50	0.987094860956	1.0	0.572,0.954,0.729	0.73,0.719,0.846	-0.013
66	"ENSG00000213753"	"ENSG00000213753"	chr19	+	58589065	58589118	58589065	58589114	58589207	58589494	66	10,8,0	0,1,0	0,2,1	0,0,0	54	50	1	1.0	1.0,0.881,NA	NA,1.0,1.0	-0.059
67	"ENSG00000176293"	"ENSG00000176293"	chr19	+	58059968	58060398	58059968	58060035	58061579	58061706	67	37,3,14	6,2,6	50,5,8	44,6,7	413	50	0.0105894795687	0.07111671541926946	0.427,0.154,0.22	0.121,0.092,0.122	0.155
68	"ENSG00000178935"	"ENSG00000178935"	chr19	-	57814532	57814913	57814710	57814913	57813293	57813420	68	32,36,20	18,12,3	36,21,26	6,5,14	228	50	0.710769304643	1.0	0.281,0.397,0.594	0.568,0.479,0.289	-0.021
69	"ENSG00000123064"	"ENSG00000123064"	chr12	-	113180928	113181058	113180980	113181058	113179934	113180005	69	208,192,145	0,0,3	203,166,121	6,0,0	102	50	0.865187718941	1.0	1.0,1.0,0.96	0.943,1.0,1.0	0.006
70	"ENSG00000267710"	"ENSG00000267710"	chr19	+	56296335	56296415	56296335	56296362	56301967	56302095	70	16,12,3	0,4,8	3,0,0	0,0,1	103	50	1	1.0	1.0,0.593,0.154	1.0,NA,0.0	0.082
71	"ENSG00000111203"	"ENSG00000111203"	chr12	+	2818105	2818353	2818105	2818277	2820085	2820225	71	60,30,15	52,49,55	66,27,57	127,37,45	126	50	0.422989967012	0.9536836245203887	0.314,0.195,0.098	0.171,0.225,0.335	-0.041
75	"ENSG00000136819"	"ENSG00000136819"	chr9	-	129834706	129834766	129834711	129834766	129833657	129833709	75	419,266,261	0,0,0	334,208,195	8,0,4	55	50	0.482217970435	1.0	1.0,1.0,1.0	0.974,1.0,0.978	0.016
77	"ENSG00000170954"	"ENSG00000170954"	chr19	-	53132748	53132900	53132855	53132900	53116312	53116433	77	40,20,11	8,1,0	48,26,27	0,3,5	157	50	0.774743895336	1.0	0.614,0.864,1.0	1.0,0.734,0.632	0.037
78	"ENSG00000170954"	"ENSG00000170954"	chr19	-	53132748	53132900	53132855	53132900	53122403	53122616	78	41,20,11	0,0,0	48,26,27	0,2,1	157	50	0.827547650656	1.0	1.0,1.0,1.0	1.0,0.805,0.896	0.1
79	"ENSG00000170954"	"ENSG00000170954"	chr19	-	53132748	53132875	53132855	53132875	53122661	53122743	79	47,20,13	19,3,4	71,29,29	10,8,14	157	50	0.750107359748	1.0	0.441,0.68,0.509	0.693,0.536,0.397	0.001
81	"ENSG00000167554"	"ENSG00000167554"	chr19	+	52347706	52347944	52347706	52347831	52349153	52349235	81	61,21,16	2,0,2	18,19,44	13,0,0	163	50	0.435428546093	0.9686148762230946	0.903,1.0,0.71	0.298,1.0,1.0	0.105
82	"ENSG00000196214"	"ENSG00000196214"	chr19	+	52274461	52274669	52274461	52274582	52282110	52282237	82	0,2,0	0,0,0	4,2,2	0,3,0	137	50	1	1.0	NA,1.0,NA	1.0,0.196,1.0	0.268
83	"ENSG00000182310"	"ENSG00000182310"	chr19	+	51703227	51703337	51703227	51703335	51704029	51704186	83	11,18,11	15,20,31	18,25,28	70,19,31	52	50	0.820870112766	1.0	0.414,0.464,0.254	0.198,0.559,0.465	-0.03
84	"ENSG00000141380"	"ENSG00000141380"	chr18	-	26091003	26091192	26091095	26091192	26087500	26087577	84	3,5,4	17,10,5	0,3,0	6,6,1	142	50	0.0283317670816	0.14411124349251206	0.059,0.15,0.22	0.0,0.15,0.0	0.093
86	"ENSG00000278318"	"ENSG00000278318"	chr19	-	44442813	44443024	44442827	44443024	44442562	44442621	86	3,6,1	0,1,0	0,0,4	0,0,0	64	50	1	1.0	1.0,0.824,1.0	NA,NA,1.0	-0.059
87	"ENSG00000055955"	"ENSG00000055955"	chr3	-	52818051	52818283	52818256	52818283	52816883	52817058	87	216,91,52	15,1,4	233,138,73	4,6,5	255	50	0.352643576971	0.8493458485453887	0.738,0.947,0.718	0.919,0.819,0.741	-0.025
91	"ENSG00000131408"	"ENSG00000131408"	chr19	+	50378148	50378439	50378148	50378312	50378521	50378796	91	758,680,601	27,3,1	731,510,453	16,2,1	177	50	0.322884804878	0.8073927987598812	0.888,0.985,0.994	0.928,0.986,0.992	-0.013
92	"ENSG00000039650"	"ENSG00000039650"	chr19	-	49861607	49861881	49861771	49861881	49861448	49861510	92	230,204,137	2,0,1	195,122,93	0,0,0	214	50	1	1.0	0.964,1.0,0.97	1.0,1.0,1.0	-0.022
93	"ENSG00000126453"	"ENSG00000126453"	chr19	+	49669023	49669164	49669023	49669115	49670215	49670488	93	47,13,14	85,54,54	81,27,23	20,51,36	99	50	0.0102875238461	0.07014363587279786	0.218,0.108,0.116	0.672,0.211,0.244	-0.228
94	"ENSG00000142534"	"ENSG00000142534"	chr19	+	49497193	49497325	49497193	49497282	49497519	49498046	94	19709,16975,16276	0,2,0	25607,18764,16415	0,0,4	93	50	1	1.0	1.0,1.0,1.0	1.0,1.0,1.0	0.0
95	"ENSG00000161960"	"ENSG00000161960"	chr17	+	7576523	7576692	7576523	7576690	7577055	7577165	95	4402,1989,2307	7,1,5	4032,1793,2167	0,0,10	52	50	1	1.0	0.998,0.999,0.998	1.0,1.0,0.995	0.0
96	"ENSG00000074219"	"ENSG00000074219"	chr19	-	49355302	49355419	49355311	49355419	49355147	49355206	96	16,20,14	23,35,15	11,28,8	27,43,21	59	50	0.271649754438	0.7234274319141968	0.371,0.326,0.442	0.257,0.356,0.244	0.094
97	"ENSG00000130529"	"ENSG00000130529"	chr19	+	49182577	49182922	49182577	49182867	49183077	49183212	97	40,34,35	11,6,6	26,11,5	0,2,1	105	50	0.0038985950922	0.034208434907731865	0.634,0.73,0.735	1.0,0.724,0.704	-0.11
98	"ENSG00000143418"	"ENSG00000143418"	chr1	-	150967391	150967714	150967663	150967714	150967073	150967202	98	776,432,326	0,4,0	878,571,430	0,0,0	322	50	1	1.0	1.0,0.944,1.0	1.0,1.0,1.0	-0.019
99	"ENSG00000104805"	"ENSG00000104805"	chr19	+	48900785	48901121	48900785	48900931	48904346	48904454	99	57,29,26	643,520,584	63,30,25	621,372,330	240	50	0.0470973967437	0.2099937728711639	0.018,0.011,0.009	0.021,0.017,0.016	-0.005
100	"ENSG00000104805"	"ENSG00000104805"	chr19	+	48913473	48913564	48913473	48913532	48918666	48918744	100	646,539,542	3,12,16	389,404,435	1,7,16	82	50	1	1.0	0.992,0.965,0.954	0.996,0.972,0.943	-0.0
101	"ENSG00000104805"	"ENSG00000104805"	chr19	+	48913473	48913564	48913473	48913532	48918725	48918784	101	1328,1129,1128	1,2,0	963,788,812	0,1,0	82	50	1	1.0	0.999,0.997,1.0	1.0,0.998,1.0	-0.001
102	"ENSG00000104804"	"ENSG00000104804"	chr19	-	48896429	48896556	48896438	48896556	48895365	48895503	102	0,0,0	0,0,1	0,0,1	0,0,0	59	50	1	1.0	NA,NA,0.0	NA,NA,1.0	-1.0
104	"ENSG00000105486"	"ENSG00000105486"	chr19	-	48120166	48121322	48121169	48121322	48119136	48119190	104	3163,1140,869	56,77,83	6881,1659,1827	32,69,51	1053	50	0.022035263606	0.12059986184362254	0.728,0.413,0.332	0.911,0.533,0.63	-0.2
105	"ENSG00000178980"	"ENSG00000178980"	chr19	+	47780863	47781000	47780863	47780917	47781107	47781182	105	112,59,53	780,512,347	122,66,56	748,488,364	133	50	0.425277948621	0.9569770888099628	0.051,0.042,0.054	0.058,0.048,0.055	-0.005
106	"ENSG00000240682"	"ENSG00000240682"	chr3	-	129134827	129134954	129134831	129134954	129134073	129134195	106	4,1,3	268,128,95	0,6,6	262,125,122	54	50	0.325951919172	0.8120546923093356	0.014,0.007,0.028	0.0,0.043,0.044	-0.013
107	"ENSG00000187097"	"ENSG00000187097"	chr14	-	74015823	74015930	74015847	74015930	74011090	74011150	107	33,10,20	0,1,0	0,16,9	0,0,3	74	50	1	1.0	1.0,0.871,1.0	NA,1.0,0.67	0.122
109	"ENSG00000181027"	"ENSG00000181027"	chr19	+	46747233	46747305	46747233	46747294	46748026	46748088	109	3,2,3	0,0,0	2,0,3	0,1,0	61	50	1	1.0	1.0,1.0,1.0	1.0,0.0,1.0	0.333
115	"ENSG00000142327"	"ENSG00000142327"	chr2	+	240574514	240574628	240574514	240574612	240575501	240575610	115	43,37,18	0,0,3	22,31,11	5,1,0	66	50	0.0605593164959	0.2543997689943931	1.0,1.0,0.82	0.769,0.959,1.0	0.031
117	"ENSG00000104936"	"ENSG00000104936"	chr19	-	45777326	45777590	45777341	45777590	45774948	45775034	117	186,116,79	42,44,31	271,289,169	69,57,47	65	50	0.118974568181	0.4084092401970376	0.773,0.67,0.662	0.751,0.796,0.734	-0.059
118	"ENSG00000267395"	"ENSG00000267395"	chr19	+	45771589	45771684	45771589	45771675	45772305	45772504	118	1,2,0	2,1,2	14,0,1	0,1,3	59	50	0.109141179404	0.38319536730995596	0.298,0.629,0.0	1.0,0.0,0.22	-0.098
119	"ENSG00000169733"	"ENSG00000169733"	chr17	-	82051011	82051342	82051293	82051342	82050661	82050764	119	212,200,103	66,54,40	440,223,196	78,74,48	332	50	0.129880213477	0.43579641877406605	0.326,0.358,0.279	0.459,0.312,0.381	-0.063
122	"ENSG00000221914"	"ENSG00000221914"	chr8	+	26293665	26293860	26293665	26293740	26338889	26338987	122	7,0,2	237,107,137	13,4,5	117,125,121	170	50	0.119086004558	0.4084778005806667	0.009,0.0,0.004	0.032,0.009,0.012	-0.013
123	"ENSG00000221914"	"ENSG00000221914"	chr8	+	26362683	26363890	26362683	26362848	26366314	26366406	123	2041,840,797	0,0,0	1970,747,1001	0,2,4	1092	50	0.447652871664	0.9858620567186821	1.0,1.0,1.0	1.0,0.945,0.92	0.045
126	"ENSG00000104859"	"ENSG00000104859"	chr19	+	45057749	45057898	45057749	45057882	45059267	45059364	126	333,306,285	81,48,58	424,311,302	84,80,54	66	50	0.747389550758	1.0	0.757,0.828,0.788	0.793,0.747,0.809	0.008
127	"ENSG00000104859"	"ENSG00000104859"	chr19	+	45068014	45068058	45068014	45068054	45068419	45068480	127	85,74,89	35,32,39	51,112,71	56,37,22	54	50	0.658788077758	1.0	0.692,0.682,0.679	0.457,0.737,0.749	0.037
128	"ENSG00000104859"	"ENSG00000104859"	chr19	+	45068014	45068058	45068014	45068054	45069065	45069124	128	25,9,20	0,0,1	10,11,7	0,0,0	54	50	1	1.0	1.0,1.0,0.949	1.0,1.0,1.0	-0.017
129	"ENSG00000068137"	"ENSG00000068137"	chr17	-	42669917	42670376	42669942	42670376	42669429	42669621	129	81,94,106	38,33,26	156,140,119	27,31,40	75	50	0.0815151811846	0.3141042270668021	0.587,0.655,0.731	0.794,0.751,0.665	-0.079
130	"ENSG00000068137"	"ENSG00000068137"	chr17	-	42670993	42671130	42671002	42671130	42670572	42670705	130	101,86,87	65,55,45	90,121,99	96,70,64	59	50	0.265856587603	0.7146885138362117	0.568,0.57,0.621	0.443,0.594,0.567	0.052
131	"ENSG00000104783"	"ENSG00000104783"	chr19	-	43769332	43769560	43769441	43769560	43768962	43769032	131	10,7,14	12,6,10	8,0,1	11,0,1	159	50	1	1.0	0.208,0.268,0.306	0.186,NA,0.239	0.048
132	"ENSG00000160570"	"ENSG00000160570"	chr19	-	42215132	42215252	42215147	42215252	42209699	42209840	132	104,157,145	5,4,3	121,110,96	5,7,5	65	50	0.133403818266	0.4456106599670576	0.941,0.968,0.974	0.949,0.924,0.937	0.024
133	"ENSG00000123415"	"ENSG00000123415"	chr12	-	54188510	54188596	54188514	54188596	54183655	54183959	133	3,0,0	0,6,0	0,1,0	0,1,0	54	50	1	1.0	1.0,0.0,NA	NA,0.481,NA	0.019
135	"ENSG00000123415"	"ENSG00000123415"	chr12	-	54188676	54188957	54188725	54188957	54187818	54187905	135	6,6,3	0,0,0	0,10,15	0,0,3	99	50	1	1.0	1.0,1.0,1.0	NA,1.0,0.716	0.142
137	"ENSG00000212766"	"ENSG00000212766"	chr15	+	69091691	69092367	69091691	69092242	69094700	69095807	137	7,4,5	4,3,6	0,8,5	0,0,2	175	50	1	1.0	0.333,0.276,0.192	NA,1.0,0.417	-0.442
138	"ENSG00000261857"	"ENSG00000261857"	chr19	+	40775751	40775885	40775751	40775833	40776968	40777079	138	431,177,195	11,0,2	67,6,8	3,0,0	102	50	0.701541946897	1.0	0.951,1.0,0.98	0.916,1.0,1.0	0.005
139	"ENSG00000105202"	"ENSG00000105202"	chr19	-	39840682	39840787	39840721	39840787	39840413	39840509	139	208,307,240	25,45,32	221,234,149	48,64,65	89	50	2.67344073875e-05	0.0007803651202129085	0.824,0.793,0.808	0.721,0.673,0.563	0.156
140	"ENSG00000105202"	"ENSG00000105202"	chr19	-	39840616	39840787	39840619	39840787	39840413	39840515	140	90,108,83	5,12,17	67,88,84	4,26,13	53	50	0.23043119791	0.6542312332269931	0.944,0.895,0.822	0.94,0.762,0.859	0.033
141	"ENSG00000105202"	"ENSG00000105202"	chr19	-	39840616	39840787	39840655	39840787	39840413	39840515	141	108,119,98	18,14,18	86,100,99	20,11,11	89	50	0.847238027296	1.0	0.771,0.827,0.754	0.707,0.836,0.835	-0.009
142	"ENSG00000105202"	"ENSG00000105202"	chr19	-	39840619	39840787	39840655	39840787	39840413	39840515	142	23,23,32	18,14,18	23,38,28	20,11,11	86	50	0.335908533679	0.826994217977075	0.426,0.489,0.508	0.401,0.668,0.597	-0.081
143	"ENSG00000105193"	"ENSG00000105193"	chr19	-	39433493	39433569	39433521	39433569	39433206	39433418	143	107,30,49	6156,3928,4281	179,33,71	8182,3934,4544	78	50	0.479282723834	1.0	0.011,0.005,0.007	0.014,0.005,0.01	-0.002
144	"ENSG00000105193"	"ENSG00000105193"	chr19	-	39433521	39433761	39433664	39433761	39433206	39433418	144	6733,4225,4547	0,0,4	8789,4189,4810	16,5,1	193	50	1	1.0	1.0,1.0,0.997	0.993,0.995,0.999	0.003
145	"ENSG00000105193"	"ENSG00000105193"	chr19	-	39433664	39435708	39435606	39435708	39433521	39433569	145	29351,15727,16533	0,0,0	32640,17766,18306	3,0,0	1992	50	1	1.0	1.0,1.0,1.0	0.996,1.0,1.0	0.001
146	"ENSG00000105193"	"ENSG00000105193"	chr19	-	39435606	39435708	39435657	39435708	39433664	39433761	146	9902,8039,7877	62,55,43	13181,8283,7931	56,57,38	101	50	0.289852028947	0.7565629230142035	0.988,0.986,0.989	0.991,0.986,0.99	-0.001
147	"ENSG00000130755"	"ENSG00000130755"	chr19	-	39329543	39329626	39329547	39329626	39328999	39329073	147	96,40,23	0,0,0	78,49,16	17,0,0	54	50	6.83698461024e-06	0.0003115711558095086	1.0,1.0,1.0	0.809,1.0,1.0	0.064
149	"ENSG00000182472"	"ENSG00000182472"	chr19	-	38735369	38735544	38735501	38735544	38731106	38731223	149	93,16,39	0,0,0	117,48,60	0,0,1	182	50	1	1.0	1.0,1.0,1.0	1.0,1.0,0.943	0.019
150	"ENSG00000099338"	"ENSG00000099338"	chr19	+	38369971	38370073	38369971	38370064	38370158	38370258	150	0,0,0	16,5,0	5,0,3	33,0,11	59	50	1	1.0	0.0,0.0,NA	0.114,NA,0.188	-0.151
154	"ENSG00000245680"	"ENSG00000245680"	chr19	-	37210440	37210549	37210458	37210549	37207039	37207254	154	5,2,5	18,7,10	6,6,4	16,10,16	68	50	0.775335084709	1.0	0.17,0.174,0.269	0.216,0.306,0.155	-0.021
155	"ENSG00000105258"	"ENSG00000105258"	chr19	-	36114150	36114251	36114176	36114251	36114014	36114066	155	5,6,3	142,224,151	6,6,2	128,155,102	76	50	0.515560083881	1.0	0.023,0.017,0.013	0.03,0.025,0.013	-0.005
156	"ENSG00000141698"	"ENSG00000141698"	chr17	-	41835587	41835957	41835858	41835957	41835202	41835272	156	50,54,43	27,48,25	83,53,81	26,63,17	321	50	0.162248760708	0.5092079868741589	0.224,0.149,0.211	0.332,0.116,0.426	-0.097
157	"ENSG00000161265"	"ENSG00000161265"	chr19	-	35744011	35744145	35744069	35744145	35743808	35743904	157	30,17,18	103,146,93	14,25,21	133,119,115	108	50	0.463589564707	1.0	0.119,0.051,0.082	0.046,0.089,0.078	0.013
158	"ENSG00000161249"	"ENSG00000161249"	chr19	-	35498597	35498763	35498715	35498763	35497219	35497538	158	424,434,406	201,253,314	529,416,426	169,185,112	168	50	6.3797761491e-05	0.0015236406567850588	0.386,0.338,0.278	0.482,0.401,0.531	-0.137
