ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
14	"ENSG00000196924"	"ENSG00000196924"	chrX	-	154350030	154351696	154350030	154350207	154351580	154351696	14	18209,8434,9951	0,0,0	26263,9193,12863	0,2,0	1423	50	1	1.0	1.0,1.0,1.0	1.0,0.994,1.0	0.002
15	"ENSG00000102032"	"ENSG00000102032"	chrX	-	153944079	153944418	153944079	153944155	153944308	153944418	15	0,0,0	3,1,2	22,4,0	1,1,2	203	50	1.7730503977e-05	0.0003290146827482996	0.0,0.0,0.0	0.844,0.496,0.0	-0.447
16	"ENSG00000102030"	"ENSG00000102030"	chrX	-	153932070	153932431	153932070	153932115	153932315	153932431	16	249,235,218	234,169,156	277,265,150	214,137,113	250	50	0.164076311979	0.3818838125074919	0.175,0.218,0.218	0.206,0.279,0.21	-0.028
17	"ENSG00000089820"	"ENSG00000089820"	chrX	-	153910170	153910611	153910170	153910404	153910505	153910611	17	86,46,53	39,22,15	126,87,81	103,45,42	151	50	0.0465626992351	0.15838624297588583	0.422,0.409,0.539	0.288,0.39,0.39	0.101
18	"ENSG00000089820"	"ENSG00000089820"	chrX	-	153913217	153913600	153913217	153913302	153913408	153913600	18	44,23,13	66,30,29	51,68,35	27,31,43	156	50	0.000721959823214	0.0065591941933135535	0.176,0.197,0.126	0.377,0.413,0.207	-0.166
20	"ENSG00000067829"	"ENSG00000067829"	chrX	-	153785765	153786272	153785765	153785973	153786211	153786272	20	165,147,173	109,127,120	302,201,144	119,121,89	288	50	0.00997418231203	0.049553043857629944	0.208,0.167,0.2	0.306,0.224,0.219	-0.058
21	"ENSG00000198753"	"ENSG00000198753"	chrX	+	153777527	153778095	153777527	153777688	153777947	153778095	21	14,3,2	2,0,2	13,8,9	0,0,4	309	50	0.127405485093	0.32080082281336697	0.531,1.0,0.139	1.0,1.0,0.267	-0.199
22	"ENSG00000213397"	"ENSG00000213397"	chrX	-	153454393	153455766	153454393	153454508	153455541	153455766	22	135,94,59	16,27,16	162,113,107	62,18,14	1083	50	0.820739251145	1.0	0.28,0.138,0.145	0.108,0.225,0.261	-0.01
24	"ENSG00000147400"	"ENSG00000147400"	chrX	-	152828536	152829277	152828536	152828674	152829148	152829277	24	17,18,10	229,290,217	17,29,22	304,270,206	524	50	1	1.0	0.007,0.006,0.004	0.005,0.01,0.01	-0.003
30	"ENSG00000185247"	"ENSG00000185247"	chrX	+	149713142	149714576	149713142	149713255	149714480	149714576	30	149,37,70	8,3,3	0,0,2	0,0,0	1275	50	1	1.0	0.422,0.326,0.478	NA,NA,1.0	-0.591
31	"ENSG00000269556"	"ENSG00000269556"	chrX	-	149596556	149598255	149596556	149597182	149597260	149598255	31	20,9,20	4,0,0	15,12,18	0,0,3	128	50	0.497532796362	0.7959523333949607	0.661,1.0,1.0	1.0,1.0,0.701	-0.013
32	"ENSG00000147274"	"ENSG00000147274"	chrX	-	136872267	136875168	136872267	136872345	136875085	136875168	32	27361,15620,13592	56,30,14	27425,15758,16999	87,29,9	2790	50	0.659530874621	0.9377766073546658	0.897,0.903,0.946	0.85,0.907,0.971	0.006
33	"ENSG00000147274"	"ENSG00000147274"	chrX	-	136879016	136879453	136879016	136879123	136879318	136879453	33	13,10,9	1714,1007,820	8,15,13	1745,884,941	245	50	1	1.0	0.002,0.002,0.002	0.001,0.003,0.003	-0.0
34	"ENSG00000147274"	"ENSG00000147274"	chrX	-	136879016	136879453	136879016	136879158	136879318	136879453	34	5,1,4	9,6,14	8,7,5	56,12,15	210	50	0.89852782863	1.0	0.117,0.038,0.064	0.033,0.122,0.074	-0.003
35	"ENSG00000165359"	"ENSG00000165359"	chrX	+	135569336	135573033	135569336	135569431	135572814	135573033	35	2908,1088,1060	13,1,3	4189,1871,2178	31,6,14	3433	50	0.0398344289682	0.1413470176706442	0.765,0.941,0.837	0.663,0.82,0.694	0.122
37	"ENSG00000102034"	"ENSG00000102034"	chrX	-	130081255	130081539	130081255	130081312	130081436	130081539	37	171,77,83	4,0,0	105,72,26	0,0,0	174	50	0.531038826105	0.8262721571597863	0.925,1.0,1.0	1.0,1.0,1.0	-0.025
40	"ENSG00000101843"	"ENSG00000101843"	chrX	-	108087952	108088099	108087952	108087972	108088095	108088099	40	810,583,618	2,0,0	690,589,447	0,0,0	173	50	1	1.0	0.992,1.0,1.0	1.0,1.0,1.0	-0.003
41	"ENSG00000089682"	"ENSG00000089682"	chrX	-	107088435	107088839	107088435	107088573	107088734	107088839	41	214,153,95	4,0,1	249,94,102	0,2,0	211	50	0.484616055316	0.7823743966831429	0.927,1.0,0.957	1.0,0.918,1.0	-0.011
42	"ENSG00000133142"	"ENSG00000133142"	chrX	+	103585858	103586291	103585858	103586107	103586218	103586291	42	166,128,82	0,3,3	184,176,158	0,2,4	161	50	0.720202508721	0.9909537692124781	1.0,0.93,0.895	1.0,0.965,0.925	-0.022
45	"ENSG00000196440"	"ENSG00000196440"	chrX	+	101531643	101533459	101531643	101532012	101533083	101533459	45	192,49,52	42,10,7	402,73,136	86,27,21	1121	50	0.641158406785	0.9196043434459144	0.169,0.179,0.249	0.173,0.108,0.224	0.031
46	"ENSG00000188917"	"ENSG00000188917"	chrX	-	101051250	101051733	101051250	101051366	101051643	101051733	46	69,58,31	0,1,2	212,27,37	5,1,1	327	50	0.101221500322	0.27013169280112925	1.0,0.899,0.703	0.866,0.805,0.85	0.027
49	"ENSG00000198034"	"ENSG00000198034"	chrX	-	72273800	72275150	72273800	72273972	72275052	72275150	49	2359,755,855	9653,4289,4366	1957,859,1021	11711,4630,5026	1130	50	0.885681441065	1.0	0.011,0.008,0.009	0.007,0.008,0.009	0.001
50	"ENSG00000147130"	"ENSG00000147130"	chrX	-	71247344	71247906	71247344	71247510	71247733	71247906	50	2,1,3	137,62,53	2,5,5	187,83,91	273	50	1	1.0	0.003,0.003,0.01	0.002,0.011,0.01	-0.002
53	"ENSG00000140506"	"ENSG00000140506"	chr15	+	74812715	74813029	74812715	74812863	74812949	74813029	53	2,0,0	0,0,3	0,1,0	0,0,0	136	50	1	1.0	1.0,NA,0.0	NA,1.0,NA	-0.5
54	"ENSG00000140506"	"ENSG00000140506"	chr15	+	74823558	74824478	74823558	74823682	74824350	74824478	54	24,13,29	0,1,1	7,11,7	0,0,0	718	50	1	1.0	1.0,0.475,0.669	1.0,1.0,1.0	-0.285
55	"ENSG00000130304"	"ENSG00000130304"	chr19	+	17486562	17487335	17486562	17486957	17487099	17487335	55	26,27,6	1,1,0	100,48,25	29,5,1	192	50	1	1.0	0.871,0.875,1.0	0.473,0.714,0.867	0.231
56	"ENSG00000130304"	"ENSG00000130304"	chr19	+	17486562	17487335	17486562	17486957	17487173	17487335	56	44,33,10	22,17,11	153,76,50	79,28,20	266	50	0.206624930291	0.44880041051955144	0.273,0.267,0.146	0.267,0.338,0.32	-0.08
62	"ENSG00000197102"	"ENSG00000197102"	chr14	+	102049439	102049882	102049439	102049582	102049713	102049882	62	61,58,32	608,441,333	61,47,44	417,334,299	181	50	0.0608491194467	0.19053805032259508	0.027,0.035,0.026	0.039,0.037,0.039	-0.009
64	"ENSG00000100151"	"ENSG00000100151"	chr22	+	38073772	38074451	38073772	38073823	38074306	38074451	64	1020,801,576	86,68,66	1591,1188,1022	86,58,49	533	50	5.91154601215e-06	0.0001445751945227864	0.527,0.525,0.45	0.634,0.658,0.662	-0.151
65	"ENSG00000130724"	"ENSG00000130724"	chr19	-	58551565	58551967	58551565	58551776	58551905	58551967	65	77,62,86	351,343,320	95,58,57	266,223,192	179	50	0.018665302516	0.080193538467391	0.058,0.048,0.07	0.091,0.068,0.077	-0.02
66	"ENSG00000176293"	"ENSG00000176293"	chr19	+	58066740	58069405	58066740	58067567	58068407	58069405	66	1187,646,577	0,2,0	1379,678,782	0,1,1	890	50	1	1.0	1.0,0.948,1.0	1.0,0.974,0.978	-0.001
67	"ENSG00000267454"	"ENSG00000267454"	chr19	+	56398276	56399168	56398276	56398383	56398893	56399168	67	42,7,8	18,11,12	38,12,15	48,21,11	560	50	0.151192284534	0.36105959185911163	0.172,0.054,0.056	0.066,0.049,0.109	0.019
68	"ENSG00000179954"	"ENSG00000179954"	chr19	+	55489005	55489662	55489005	55489032	55489353	55489662	68	10,5,1	6,3,2	21,6,10	6,2,2	371	50	0.0437783276876	0.15217116963714605	0.183,0.183,0.063	0.321,0.288,0.403	-0.194
71	"ENSG00000111203"	"ENSG00000111203"	chr12	+	2817222	2817950	2817222	2817318	2817908	2817950	71	17,3,7	104,72,71	24,18,23	113,91,81	640	50	0.00738631762871	0.0395346226389652	0.013,0.003,0.008	0.016,0.015,0.022	-0.01
77	"ENSG00000092850"	"ENSG00000092850"	chr1	+	36087727	36088275	36087727	36087807	36087972	36088275	77	28,36,39	26,41,47	22,24,18	38,41,20	215	50	0.120642404215	0.30701367433369	0.2,0.17,0.162	0.119,0.12,0.173	0.04
81	"ENSG00000182310"	"ENSG00000182310"	chr19	+	51704029	51704480	51704029	51704186	51704269	51704480	81	49,45,40	19,7,12	110,91,70	34,17,21	133	50	0.892826735453	1.0	0.492,0.707,0.556	0.549,0.668,0.556	-0.006
82	"ENSG00000142512"	"ENSG00000142512"	chr19	-	51415897	51416357	51415897	51416167	51416309	51416357	82	0,1,4	20,2,3	0,2,0	0,0,0	192	50	1	1.0	0.0,0.115,0.258	NA,1.0,NA	-0.876
84	"ENSG00000100842"	"ENSG00000100842"	chr14	-	23359316	23360039	23359316	23359694	23359922	23360039	84	584,491,395	5,8,3	877,464,467	20,7,5	278	50	0.0907992159879	0.24914928713825954	0.955,0.917,0.959	0.887,0.923,0.944	0.026
85	"ENSG00000275832"	"ENSG00000275832"	chr17	+	38477578	38477896	38477578	38477705	38477827	38477896	85	0,0,0	24,8,8	0,1,0	6,13,4	172	50	1	1.0	0.0,0.0,0.0	0.0,0.022,0.0	-0.007
86	"ENSG00000055955"	"ENSG00000055955"	chr3	-	52818051	52818283	52818051	52818168	52818256	52818283	86	103,37,24	39,26,9	117,50,31	14,16,10	138	50	0.019562012187	0.0829993203912838	0.489,0.34,0.491	0.752,0.531,0.529	-0.164
87	"ENSG00000055955"	"ENSG00000055955"	chr3	-	52819753	52819990	52819753	52819792	52819939	52819990	87	209,86,47	17,3,4	74,94,60	10,4,3	197	50	0.917370325192	1.0	0.757,0.879,0.749	0.653,0.856,0.835	0.014
88	"ENSG00000055955"	"ENSG00000055955"	chr3	-	52819753	52819990	52819753	52819807	52819939	52819990	88	192,80,37	6,3,1	64,88,56	23,5,4	182	50	0.00250927218522	0.017624033948916318	0.898,0.88,0.91	0.433,0.829,0.794	0.211
90	"ENSG00000131408"	"ENSG00000131408"	chr19	+	50376472	50376826	50376472	50376576	50376718	50376826	90	23,17,13	281,312,305	33,18,22	264,257,236	192	50	0.0160779566972	0.07079942335082806	0.021,0.014,0.011	0.032,0.018,0.024	-0.009
91	"ENSG00000039650"	"ENSG00000039650"	chr19	-	49861448	49861881	49861448	49861510	49861607	49861881	91	99,57,28	119,91,46	61,42,16	79,57,33	147	50	0.903546877088	1.0	0.221,0.176,0.172	0.208,0.2,0.142	0.006
92	"ENSG00000039650"	"ENSG00000039650"	chr19	-	49861448	49861881	49861448	49861510	49861771	49861881	92	210,170,119	2,0,1	177,107,76	0,0,0	311	50	0.379850650497	0.6707685142824746	0.944,1.0,0.95	1.0,1.0,1.0	-0.035
93	"ENSG00000039650"	"ENSG00000039650"	chr19	-	49861607	49861881	49861607	49861695	49861771	49861881	93	42,28,23	55,59,36	50,20,14	28,67,34	126	50	0.966691129868	1.0	0.233,0.158,0.202	0.415,0.106,0.14	-0.023
94	"ENSG00000039650"	"ENSG00000039650"	chr19	-	49864178	49864403	49864178	49864236	49864323	49864403	94	149,77,57	139,92,76	146,64,41	139,57,54	137	50	0.549001502122	0.8448493590254335	0.281,0.234,0.215	0.277,0.291,0.217	-0.018
96	"ENSG00000126458"	"ENSG00000126458"	chr19	-	49636823	49637130	49636823	49636926	49637042	49637130	96	133,107,105	291,231,196	143,137,103	357,149,164	166	50	0.10718268298	0.2817453582402075	0.121,0.122,0.139	0.108,0.217,0.159	-0.034
97	"ENSG00000142534"	"ENSG00000142534"	chr19	+	49497193	49497595	49497193	49497325	49497519	49497595	97	1774,1010,1010	12724,9566,9015	1618,840,810	16021,10844,9271	244	50	0.00075794789988	0.006794461531067142	0.028,0.021,0.022	0.02,0.016,0.018	0.006
98	"ENSG00000142534"	"ENSG00000142534"	chr19	+	49497193	49498046	49497193	49497282	49497519	49498046	98	8759,8419,8271	0,2,0	11204,8760,7954	0,0,4	287	50	1	1.0	1.0,0.999,1.0	1.0,1.0,0.997	0.001
99	"ENSG00000142534"	"ENSG00000142534"	chr19	+	49497193	49497595	49497193	49497282	49497580	49497595	99	21630,17447,16860	18,35,29	27519,19303,18124	41,34,41	348	50	0.42301249554	0.7233103681629405	0.994,0.986,0.988	0.99,0.988,0.984	0.002
100	"ENSG00000142534"	"ENSG00000142534"	chr19	+	49497193	49498046	49497193	49497595	49497916	49498046	100	2040,1191,1135	9618,7265,7221	1672,1074,851	12608,8534,8051	371	50	1.30333565201e-05	0.00026115998842166766	0.028,0.022,0.021	0.018,0.017,0.014	0.007
101	"ENSG00000161960"	"ENSG00000161960"	chr17	+	7574259	7574678	7574259	7574308	7574521	7574678	101	1475,659,576	4,0,2	2334,821,971	19,3,2	263	50	0.00820303376208	0.04252203044712991	0.986,1.0,0.982	0.959,0.981,0.989	0.013
102	"ENSG00000161960"	"ENSG00000161960"	chr17	+	7574259	7574678	7574259	7574308	7574545	7574678	102	1663,742,621	1934,1267,1506	2576,890,1091	2238,1153,1240	287	50	7.29395229992e-07	2.6553327113220213e-05	0.13,0.093,0.067	0.167,0.119,0.133	-0.043
103	"ENSG00000161960"	"ENSG00000161960"	chr17	+	7574259	7574678	7574259	7574308	7574547	7574678	103	1666,743,622	83,50,53	2576,891,1095	123,49,51	289	50	0.0674768445848	0.20444540776677966	0.776,0.72,0.67	0.784,0.759,0.788	-0.055
104	"ENSG00000161960"	"ENSG00000161960"	chr17	+	7576523	7577165	7576523	7576690	7577055	7577165	104	3629,1877,1496	7,1,5	5299,2217,2172	0,0,10	415	50	0.897297521676	1.0	0.984,0.996,0.973	1.0,1.0,0.963	-0.003
105	"ENSG00000161960"	"ENSG00000161960"	chr17	+	7576523	7577165	7576523	7576692	7577055	7577165	105	3462,1777,1411	4235,1889,2222	5179,2141,2107	3912,1717,2102	413	50	1.78647027915e-06	5.5684161838342163e-05	0.09,0.102,0.071	0.138,0.131,0.108	-0.038
106	"ENSG00000161960"	"ENSG00000161960"	chr17	+	7577568	7578244	7577568	7577706	7577826	7578244	106	1781,898,818	5717,2633,3096	2944,1023,1164	5676,2525,2845	170	50	1.31504500258e-05	0.00026240374967799246	0.084,0.091,0.072	0.132,0.106,0.107	-0.033
107	"ENSG00000161960"	"ENSG00000161960"	chr17	+	7577826	7578244	7577826	7577916	7578119	7578244	107	6088,2616,2654	37,19,26	10117,3651,4406	37,18,21	253	50	0.00302005849574	0.02042930349813342	0.97,0.965,0.953	0.982,0.976,0.976	-0.015
108	"ENSG00000161960"	"ENSG00000161960"	chr17	+	7577826	7578244	7577826	7577916	7578164	7578244	108	7192,3208,3163	3918,2354,2527	12147,4354,5346	3465,1977,2192	298	50	2.39744490926e-09	2.286682954452188e-07	0.235,0.186,0.174	0.37,0.27,0.29	-0.112
109	"ENSG00000161960"	"ENSG00000161960"	chr17	+	7577826	7578244	7577826	7577916	7578226	7578244	109	12549,6019,6444	112,52,53	17966,6962,8214	171,57,69	360	50	0.857252047345	1.0	0.94,0.941,0.944	0.936,0.944,0.943	0.001
110	"ENSG00000130529"	"ENSG00000130529"	chr19	+	49188640	49189091	49188640	49188770	49188945	49189091	110	11,16,23	29,42,46	0,6,6	5,28,12	225	50	0.0728818522014	0.21455157601757815	0.078,0.078,0.1	0.0,0.045,0.1	0.037
111	"ENSG00000130529"	"ENSG00000130529"	chr19	+	49211163	49211834	49211163	49211269	49211493	49211834	111	28,4,5	53,52,53	34,5,10	59,20,47	274	50	0.05230495484	0.17191063379184013	0.088,0.014,0.017	0.095,0.044,0.037	-0.019
113	"ENSG00000143418"	"ENSG00000143418"	chr1	-	150966755	150967202	150966755	150966862	150967073	150967202	113	64,75,50	341,159,120	149,93,67	443,185,124	261	50	0.0263822294146	0.1038092838929269	0.035,0.083,0.074	0.061,0.088,0.094	-0.017
114	"ENSG00000143418"	"ENSG00000143418"	chr1	-	150967391	150967714	150967391	150967484	150967663	150967714	114	208,115,53	378,228,223	275,179,117	450,272,173	229	50	0.000849343914981	0.0074321488633842005	0.107,0.099,0.049	0.118,0.126,0.129	-0.039
115	"ENSG00000104805"	"ENSG00000104805"	chr19	+	48919029	48919286	48919029	48919122	48919193	48919286	115	172,155,111	797,722,743	154,122,167	678,524,557	121	50	0.0157593468979	0.06965368429664977	0.082,0.081,0.058	0.086,0.088,0.11	-0.021
116	"ENSG00000110934"	"ENSG00000110934"	chr12	-	51302019	51302780	51302019	51302115	51302685	51302780	116	76,42,27	31,18,1	137,25,6	9,8,2	620	50	0.540971901937	0.8369921461175706	0.165,0.158,0.685	0.551,0.201,0.195	0.02
117	"ENSG00000185453"	"ENSG00000185453"	chr19	+	48194652	48197620	48194652	48195918	48197229	48197620	117	1131,927,847	0,0,0	1765,1315,1097	0,0,1	1361	50	1	1.0	1.0,1.0,1.0	1.0,1.0,0.976	0.008
120	"ENSG00000197948"	"ENSG00000197948"	chr5	-	141646086	141646722	141646086	141646191	141646602	141646722	120	281,122,89	23,8,11	362,185,194	25,17,14	461	50	0.621418462759	0.9035197100297778	0.57,0.623,0.467	0.611,0.541,0.6	-0.031
123	"ENSG00000181027"	"ENSG00000181027"	chr19	+	46748514	46748884	46748514	46748665	46748774	46748884	123	36,23,3	2,4,0	8,25,19	0,1,3	159	50	0.255186293651	0.5154525346978479	0.85,0.644,1.0	1.0,0.887,0.666	-0.02
126	"ENSG00000142327"	"ENSG00000142327"	chr2	+	240573774	240574628	240573774	240573891	240574514	240574628	126	370,399,313	0,0,1	501,238,150	0,1,0	673	50	1	1.0	1.0,1.0,0.959	1.0,0.946,1.0	0.004
127	"ENSG00000142327"	"ENSG00000142327"	chr2	+	240575029	240575610	240575029	240575142	240575501	240575610	127	34,48,34	77,79,74	67,22,11	94,68,26	409	50	1	1.0	0.051,0.069,0.053	0.08,0.038,0.049	0.002
128	"ENSG00000104936"	"ENSG00000104936"	chr19	-	45769846	45770640	45769846	45770204	45770249	45770640	128	53,83,40	37,64,41	105,184,60	99,116,63	95	50	0.914165024886	1.0	0.43,0.406,0.339	0.358,0.455,0.334	0.009
129	"ENSG00000169733"	"ENSG00000169733"	chr17	-	82047901	82049116	82047901	82048807	82049030	82049116	129	12,1,5	96,83,65	11,13,32	246,78,99	273	50	0.0130902888119	0.06055052118714947	0.022,0.002,0.014	0.008,0.03,0.056	-0.019
130	"ENSG00000169733"	"ENSG00000169733"	chr17	-	82049676	82050006	82049676	82049842	82049917	82050006	130	86,69,87	63,42,34	199,155,111	213,51,52	125	50	0.965915910991	1.0	0.353,0.397,0.506	0.272,0.549,0.461	-0.009
131	"ENSG00000169733"	"ENSG00000169733"	chr17	-	82049676	82050555	82049676	82050006	82050401	82050555	131	716,528,338	83,65,40	1025,680,702	120,46,45	445	50	0.031173656226	0.11703429900078688	0.492,0.477,0.487	0.49,0.624,0.637	-0.098
132	"ENSG00000169733"	"ENSG00000169733"	chr17	-	82050661	82051342	82050661	82050764	82051011	82051342	132	201,166,148	5,6,3	451,261,215	0,0,3	297	50	1.04866486369e-05	0.0002203120147549608	0.871,0.823,0.893	1.0,1.0,0.923	-0.112
133	"ENSG00000169733"	"ENSG00000169733"	chr17	-	82050661	82051342	82050661	82050764	82051293	82051342	133	408,360,248	66,54,40	891,484,408	78,74,48	579	50	0.0561264323702	0.1803685687152856	0.348,0.365,0.349	0.497,0.361,0.423	-0.073
134	"ENSG00000104856"	"ENSG00000104856"	chr19	+	45034243	45034528	45034243	45034312	45034450	45034528	134	420,341,436	664,662,620	413,156,237	277,217,174	188	50	2.21289064928e-06	6.595797191510201e-05	0.144,0.12,0.158	0.284,0.161,0.266	-0.096
135	"ENSG00000184343"	"ENSG00000184343"	chrX	+	153781115	153781346	153781115	153781145	153781282	153781346	135	11,13,8	0,0,0	66,67,22	0,4,0	187	50	0.377862447925	0.668903494489356	1.0,1.0,1.0	1.0,0.817,1.0	0.061
136	"ENSG00000184343"	"ENSG00000184343"	chrX	+	153783973	153784213	153783973	153784021	153784120	153784213	136	2,1,2	4,0,0	72,115,38	14,3,3	149	50	0.561885782848	0.8577571377727631	0.144,1.0,1.0	0.633,0.928,0.81	-0.076
138	"ENSG00000186567"	"ENSG00000186567"	chr19	+	44682566	44684359	44682566	44682620	44683433	44684359	138	195,64,131	3,10,3	180,40,109	5,6,3	863	50	0.793280031683	1.0	0.79,0.27,0.717	0.676,0.279,0.678	0.048
139	"ENSG00000186567"	"ENSG00000186567"	chr19	+	44682566	44684359	44682566	44682620	44683436	44684359	139	195,64,131	15,22,26	180,40,109	5,25,20	866	50	0.857143023827	1.0	0.429,0.144,0.225	0.675,0.085,0.239	-0.067
140	"ENSG00000221914"	"ENSG00000221914"	chr8	+	26362683	26363890	26362683	26362848	26363720	26363890	140	792,208,201	337,112,143	615,205,341	285,107,160	922	50	0.428218373021	0.7285670427888509	0.113,0.091,0.071	0.105,0.094,0.104	-0.009
141	"ENSG00000104783"	"ENSG00000104783"	chr19	-	43766532	43767707	43766532	43767089	43767539	43767707	141	26,25,21	19,16,19	13,2,7	12,3,4	500	50	0.420429752322	0.7204561583987129	0.12,0.135,0.1	0.098,0.062,0.149	0.015
143	"ENSG00000104783"	"ENSG00000104783"	chr19	-	43768962	43769560	43768962	43769032	43769441	43769560	143	46,13,45	12,6,10	21,0,3	11,0,1	459	50	1	1.0	0.295,0.191,0.329	0.172,NA,0.246	0.063
145	"ENSG00000104823"	"ENSG00000104823"	chr19	-	38815856	38816355	38815856	38816007	38816283	38816355	145	220,106,155	485,337,370	361,125,196	542,257,253	326	50	1.75702145085e-05	0.0003273332616706933	0.065,0.046,0.06	0.093,0.069,0.106	-0.032
146	"ENSG00000104823"	"ENSG00000104823"	chr19	-	38817315	38817575	38817315	38817364	38817450	38817575	146	57,31,29	756,365,336	173,32,72	677,307,276	136	50	1.37629907471e-11	2.1172807378361256e-09	0.027,0.03,0.031	0.086,0.037,0.088	-0.041
147	"ENSG00000076928"	"ENSG00000076928"	chr19	+	41892024	41892373	41892024	41892123	41892330	41892373	147	71,69,50	115,82,89	109,51,41	238,88,84	257	50	0.0580196994941	0.1841659613531803	0.107,0.141,0.099	0.082,0.101,0.087	0.026
149	"ENSG00000248098"	"ENSG00000248098"	chr19	+	41410636	41411009	41410636	41410816	41410922	41411009	149	18,17,24	139,119,114	15,32,21	135,84,69	156	50	0.0547255245919	0.17730028993123034	0.04,0.044,0.063	0.034,0.109,0.089	-0.028
150	"ENSG00000105202"	"ENSG00000105202"	chr19	-	39834457	39834813	39834457	39834562	39834667	39834813	150	17,23,19	263,326,325	50,18,22	319,306,325	155	50	0.0448147281178	0.15475846371744256	0.02,0.022,0.019	0.048,0.019,0.021	-0.009
151	"ENSG00000105202"	"ENSG00000105202"	chr19	-	39840616	39840787	39840616	39840682	39840721	39840787	151	502,733,590	2,1,2	449,570,466	4,3,0	89	50	1	1.0	0.993,0.998,0.994	0.984,0.991,1.0	0.003
152	"ENSG00000105204"	"ENSG00000105204"	chr19	-	39826671	39826987	39826671	39826867	39826951	39826987	152	69,134,96	5,4,4	118,92,81	28,10,6	134	50	0.000550934253583	0.005286530091221986	0.837,0.926,0.9	0.611,0.774,0.834	0.148
154	"ENSG00000105193"	"ENSG00000105193"	chr19	-	39433222	39433569	39433222	39433418	39433521	39433569	154	540,155,221	6156,3928,4281	626,194,250	8182,3934,4544	153	50	0.799200659376	1.0	0.028,0.013,0.017	0.024,0.016,0.018	0.0
