Ensembl_ID,gene_symbol,GNF_GeneAtlas_Specificity
ENSMUSG00000018920,Cxcl16,NRE
ENSMUSG00000018921,Pelp1,NRE
ENSMUSG00000018923,Med11,NRE
ENSMUSG00000018924,Alox15,TRE
ENSMUSG00000018925,Gm11435,not present
ENSMUSG00000018927,Ccl6,NRE
ENSMUSG00000018930,Ccl4,TRE
ENSMUSG00000018931,Gm16515,NRE
ENSMUSG00000018932,Map2k3,NRE
ENSMUSG00000018965,Ywhah,NRE
ENSMUSG00000018973,Hoxb1,not detected
ENSMUSG00000018974,Sart3,TRE+NRE
ENSMUSG00000018983,E2f2,TRE
ENSMUSG00000018986,Slfn3,TRE
ENSMUSG00000018995,Nars2,NRE
ENSMUSG00000018999,Slc35b4,TRE+NRE
ENSMUSG00000019027,Dnahc1,TRE
ENSMUSG00000019039,Dalrd3,NRE
ENSMUSG00000019054,Fis1,NRE
ENSMUSG00000019055,Plod1,NRE
ENSMUSG00000019066,Rab3d,TRE+NRE
ENSMUSG00000019080,Mfsd3,NRE
ENSMUSG00000019082,Slc25a22,NRE
ENSMUSG00000019087,Atp6ap1,NRE
ENSMUSG00000019088,Dnase1l1,TRE
ENSMUSG00000019102,Aldh3a1,TRE
ENSMUSG00000019122,Ccl9,TRE+NRE
ENSMUSG00000019124,Scrn1,TRE+NRE
ENSMUSG00000019132,BC005537,NRE
ENSMUSG00000019139,Isyna1,NRE
ENSMUSG00000019143,Hars2,NRE
ENSMUSG00000019146,Cacng2,TRE
ENSMUSG00000019158,Tmem160,NRE
ENSMUSG00000019173,Rab5c,NRE
ENSMUSG00000019178,Styxl1,TRE
ENSMUSG00000019179,Mdh2,NRE
ENSMUSG00000019188,H13,TRE+NRE
ENSMUSG00000019189,Rnf145,TRE+NRE
ENSMUSG00000019194,Scn1b,TRE
ENSMUSG00000019210,Atp6v1e1,NRE
ENSMUSG00000019214,Chtf18,NRE
ENSMUSG00000019230,Lhx9,TRE
ENSMUSG00000019232,Agxt2l1,TRE
ENSMUSG00000019235,Rps6kl1,not detected
ENSMUSG00000019254,Ppp1r12c,NRE
ENSMUSG00000019256,Ahr,NRE
ENSMUSG00000019261,Mtap1s,NRE
ENSMUSG00000019278,Dpep1,NRE
ENSMUSG00000019295,Tmem129,NRE
ENSMUSG00000019297,2610027L16Rik,TRE
ENSMUSG00000019301,Hsd17b1,TRE
ENSMUSG00000019302,Atp6v0a1,TRE+NRE
ENSMUSG00000019303,Psmc3ip,TRE
ENSMUSG00000019312,Grb7,NRE
ENSMUSG00000019320,Noxo1,TRE
ENSMUSG00000019326,Aoc3,NRE
ENSMUSG00000019338,Zfp687,NRE
ENSMUSG00000019359,Gdpd2,TRE
ENSMUSG00000019362,D8Ertd738e,NRE
ENSMUSG00000019368,Sec14l4,TRE
ENSMUSG00000019370,Calm3,NRE
ENSMUSG00000019373,Cops3,NRE
ENSMUSG00000019428,Fkbp8,NRE
ENSMUSG00000019429,Ffar3,not present
ENSMUSG00000019432,Ddx39b,NRE
ENSMUSG00000019433,Gipc1,NRE
ENSMUSG00000019437,Tlcd1,NRE
ENSMUSG00000019461,Plscr3,NRE
ENSMUSG00000019464,Ptger1,TRE
ENSMUSG00000019467,Arhgef25,NRE
ENSMUSG00000019470,Xab2,NRE
ENSMUSG00000019471,Cdc37,NRE
ENSMUSG00000019478,Rab4a,NRE
ENSMUSG00000019487,Trip10,NRE
ENSMUSG00000019489,Cd70,not detected
ENSMUSG00000019494,Cops6,NRE
ENSMUSG00000019505,Ubb,NRE
ENSMUSG00000019518,Ap4m1,TRE
ENSMUSG00000019528,Gyg,NRE
ENSMUSG00000019539,Rcn3,TRE
ENSMUSG00000019558,Slc6a8,NRE
ENSMUSG00000019564,Arid3a,TRE
ENSMUSG00000019577,Pdk4,NRE
ENSMUSG00000019578,Ubxn6,NRE
ENSMUSG00000019579,D17Wsu104e,NRE
ENSMUSG00000019590,Cyb561,NRE
ENSMUSG00000019647,Sema6a,TRE
ENSMUSG00000019659,Ccdc12,NRE
ENSMUSG00000019689,1110001J03Rik,NRE
ENSMUSG00000019699,Akt3,TRE+NRE
ENSMUSG00000019710,Mrpl24,NRE
ENSMUSG00000019715,Gle1,NRE
ENSMUSG00000019718,2810055F11Rik,NRE
ENSMUSG00000019726,Lyst,TRE
ENSMUSG00000019731,Slc35e1,NRE
ENSMUSG00000019732,Calr3,TRE
ENSMUSG00000019734,Tmc4,NRE
ENSMUSG00000019737,AI428936,TRE+NRE
ENSMUSG00000019738,Polr2i,NRE
ENSMUSG00000019756,Prl8a1,TRE
ENSMUSG00000019761,Krt10,TRE
ENSMUSG00000019762,Iyd,TRE
ENSMUSG00000019763,Rmnd1,NRE
ENSMUSG00000019767,Gm221,not present
ENSMUSG00000019768,Esr1,TRE+NRE
ENSMUSG00000019769,Syne1,TRE+NRE
ENSMUSG00000019772,Vip,TRE
ENSMUSG00000019773,Fbxo5,NRE
ENSMUSG00000019774,Mtrf1l,NRE
ENSMUSG00000019775,Rgs17,TRE
ENSMUSG00000019777,Hdac2,NRE
ENSMUSG00000019779,Frk,TRE+NRE
ENSMUSG00000019782,Rwdd1,NRE
ENSMUSG00000019785,Clvs2,TRE
ENSMUSG00000019787,Trdn,TRE
ENSMUSG00000019789,Hey2,TRE
ENSMUSG00000019790,Stxbp5,TRE+NRE
ENSMUSG00000019791,Hint3,NRE
ENSMUSG00000019792,Trmt11,NRE
ENSMUSG00000019794,Katna1,NRE
ENSMUSG00000019795,Pcmt1,NRE
ENSMUSG00000019796,Lrp11,NRE
ENSMUSG00000019797,1700021F05Rik,NRE
ENSMUSG00000019802,Sec63,NRE
ENSMUSG00000019803,Nr2e1,TRE
ENSMUSG00000019804,Snx3,NRE
ENSMUSG00000019806,Aig1,NRE
ENSMUSG00000019808,Adat2,TRE
ENSMUSG00000019809,Pex3,NRE
ENSMUSG00000019810,Fuca2,TRE+NRE
ENSMUSG00000019813,Cep57l1,TRE+NRE
ENSMUSG00000019814,Ltv1,NRE
ENSMUSG00000019815,Fam164b,not detected
ENSMUSG00000019817,Plagl1,TRE+NRE
ENSMUSG00000019818,Cd164,NRE
ENSMUSG00000019820,Utrn,NRE
ENSMUSG00000019822,Smpd2,NRE
ENSMUSG00000019823,Mical1,NRE
ENSMUSG00000019826,Zbtb24,NRE
ENSMUSG00000019828,Grm1,TRE
ENSMUSG00000019831,Wasf1,TRE
ENSMUSG00000019832,Rab32,NRE
ENSMUSG00000019834,Slc22a16,TRE
ENSMUSG00000019837,Gtf3c6,NRE
ENSMUSG00000019838,Slc16a10,TRE+NRE
ENSMUSG00000019841,Rev3l,NRE
ENSMUSG00000019842,Traf3ip2,NRE
ENSMUSG00000019843,Fyn,TRE+NRE
ENSMUSG00000019845,Tube1,TRE+NRE
ENSMUSG00000019846,Lama4,TRE+NRE
ENSMUSG00000019848,Popdc3,TRE
ENSMUSG00000019849,Prep,NRE
ENSMUSG00000019850,Tnfaip3,NRE
ENSMUSG00000019851,Perp,NRE
ENSMUSG00000019852,D10Bwg1379e,NRE
ENSMUSG00000019853,Hebp2,TRE+NRE
ENSMUSG00000019854,Reps1,NRE
ENSMUSG00000019856,Fam184a,TRE
ENSMUSG00000019857,Asf1a,NRE
ENSMUSG00000019861,Gopc,NRE
ENSMUSG00000019863,Qrsl1,NRE
ENSMUSG00000019864,Rtn4ip1,TRE+NRE
ENSMUSG00000019865,Nmbr,TRE
ENSMUSG00000019866,Aim1,NRE
ENSMUSG00000019867,Gje1,TRE
ENSMUSG00000019868,Vta1,NRE
ENSMUSG00000019872,Smpdl3a,NRE
ENSMUSG00000019873,Reep3,NRE
ENSMUSG00000019874,Fabp7,TRE
ENSMUSG00000019876,Pkib,TRE
ENSMUSG00000019877,Serinc1,NRE
ENSMUSG00000019878,Hsf2,not detected
ENSMUSG00000019880,Rspo3,TRE
ENSMUSG00000019883,Echdc1,NRE
ENSMUSG00000019888,Mgat4c,TRE
ENSMUSG00000019889,Ptprk,TRE+NRE
ENSMUSG00000019890,Nts,TRE
ENSMUSG00000019891,Dcbld1,NRE
ENSMUSG00000019892,Lrriq1,not present
ENSMUSG00000019893,Ros1,TRE
ENSMUSG00000019894,Slc6a15,TRE
ENSMUSG00000019897,Ccdc59,NRE
ENSMUSG00000019899,Lama2,NRE
ENSMUSG00000019900,Rfx6,not present
ENSMUSG00000019905,Gprc6a,not detected
ENSMUSG00000019906,Lin7a,TRE
ENSMUSG00000019907,Ppp1r12a,TRE+NRE
ENSMUSG00000019909,Fam162b,TRE
ENSMUSG00000019913,Sim1,TRE
ENSMUSG00000019916,P4ha1,NRE
ENSMUSG00000019917,Sept10,TRE+NRE
ENSMUSG00000019920,Lims1,NRE
ENSMUSG00000019923,Zwint,TRE+NRE
ENSMUSG00000019927,Ube2d1,NRE
ENSMUSG00000019929,Dcn,NRE
ENSMUSG00000019932,Kera,TRE
ENSMUSG00000019933,2310015B20Rik,TRE
ENSMUSG00000019935,Slc17a8,not present
ENSMUSG00000019936,Epyc,TRE
ENSMUSG00000019942,Cdk1,NRE
ENSMUSG00000019943,Atp2b1,TRE+NRE
ENSMUSG00000019944,Rhobtb1,TRE+NRE
ENSMUSG00000019945,1700040L02Rik,TRE
ENSMUSG00000019947,Arid5b,TRE+NRE
ENSMUSG00000019948,Actr6,NRE
ENSMUSG00000019951,Uhrf1bp1l,NRE
ENSMUSG00000019952,Poc1b,TRE+NRE
ENSMUSG00000019960,Dusp6,NRE
ENSMUSG00000019961,Tmpo,TRE+NRE
ENSMUSG00000019966,Kitl,TRE+NRE
ENSMUSG00000019969,Psen1,NRE
ENSMUSG00000019970,Sgk1,NRE
ENSMUSG00000019971,Cep290,TRE
ENSMUSG00000019975,Ikbip,TRE+NRE
ENSMUSG00000019977,Hbs1l,NRE
ENSMUSG00000019978,Epb4.1l2,TRE+NRE
ENSMUSG00000019979,Apaf1,NRE
ENSMUSG00000019982,Myb,NRE
ENSMUSG00000019984,Med23,NRE
ENSMUSG00000019986,Ahi1,TRE
ENSMUSG00000019987,Arg1,TRE
ENSMUSG00000019988,Nedd1,NRE
ENSMUSG00000019989,Enpp3,NRE
ENSMUSG00000019990,Pde7b,TRE
ENSMUSG00000019992,Fam54a,TRE
ENSMUSG00000019996,Mtap7,TRE+NRE
ENSMUSG00000019997,Ctgf,NRE
ENSMUSG00000019998,Stx7,NRE
ENSMUSG00000020000,Moxd1,TRE
ENSMUSG00000020003,Pex7,NRE
ENSMUSG00000020007,Il20ra,TRE
ENSMUSG00000020009,Ifngr1,NRE
ENSMUSG00000020010,Vnn3,TRE
ENSMUSG00000020014,Gm872,TRE
ENSMUSG00000020015,Cdk17,NRE
ENSMUSG00000020017,Hal,TRE
ENSMUSG00000020018,Snrpf,NRE
ENSMUSG00000020019,Ntn4,TRE+NRE
ENSMUSG00000020020,Usp44,not present
ENSMUSG00000020021,Fgd6,TRE+NRE
ENSMUSG00000020022,Ndufa12,NRE
ENSMUSG00000020023,Tmcc3,NRE
ENSMUSG00000020024,Ccdc41,NRE
ENSMUSG00000020027,Socs2,TRE+NRE
ENSMUSG00000020029,Nudt4,NRE
ENSMUSG00000020032,Nuak1,NRE
ENSMUSG00000020034,Tcp11l2,NRE
ENSMUSG00000020037,Rfx4,TRE
ENSMUSG00000020038,Cry1,NRE
ENSMUSG00000020042,Btbd11,TRE+NRE
ENSMUSG00000020044,Timp3,TRE+NRE
ENSMUSG00000020048,Hsp90b1,NRE
ENSMUSG00000020051,Pah,TRE
ENSMUSG00000020052,Ascl1,TRE
ENSMUSG00000020053,Igf1,NRE
ENSMUSG00000020056,Ccdc53,NRE
ENSMUSG00000020057,Dram1,NRE
ENSMUSG00000020059,Sycp3,TRE
ENSMUSG00000020061,Mybpc1,TRE
ENSMUSG00000020062,Slc5a8,NRE
ENSMUSG00000020063,Sirt1,NRE
ENSMUSG00000020064,Herc4,NRE
ENSMUSG00000020067,Mypn,TRE
ENSMUSG00000020068,Pbld2,TRE
ENSMUSG00000020069,Hnrnph3,NRE
ENSMUSG00000020070,Rufy2,TRE+NRE
ENSMUSG00000020072,Pbld1,TRE
ENSMUSG00000020074,Ccar1,NRE
ENSMUSG00000020075,Ddx21,NRE
ENSMUSG00000020076,Ddx50,NRE
ENSMUSG00000020077,Srgn,NRE
ENSMUSG00000020078,Vps26a,NRE
ENSMUSG00000020079,Supv3l1,NRE
ENSMUSG00000020080,Hkdc1,TRE
ENSMUSG00000020081,Tacr2,not detected
ENSMUSG00000020083,2010107G23Rik,NRE
ENSMUSG00000020085,Aifm2,TRE
ENSMUSG00000020086,H2afy2,TRE
ENSMUSG00000020087,Tysnd1,NRE
ENSMUSG00000020088,Sar1a,NRE
ENSMUSG00000020089,Ppa1,NRE
ENSMUSG00000020090,Npffr1,not present
ENSMUSG00000020091,Eif4ebp2,NRE
ENSMUSG00000020092,X99384,NRE
ENSMUSG00000020096,Tbata,TRE
ENSMUSG00000020097,Sgpl1,NRE
ENSMUSG00000020098,Pcbd1,NRE
ENSMUSG00000020099,Unc5b,TRE+NRE
ENSMUSG00000020100,Slc29a3,TRE+NRE
ENSMUSG00000020101,4632428N05Rik,TRE+NRE
ENSMUSG00000020102,Slc16a7,TRE
ENSMUSG00000020105,Lrig3,TRE+NRE
ENSMUSG00000020107,Anapc16,NRE
ENSMUSG00000020108,Ddit4,NRE
ENSMUSG00000020109,Dnajb12,NRE
ENSMUSG00000020111,Micu1,NRE
ENSMUSG00000020114,Cand1,TRE+NRE
ENSMUSG00000020115,Tbk1,NRE
ENSMUSG00000020116,Pno1,NRE
ENSMUSG00000020120,Plek,TRE+NRE
ENSMUSG00000020121,Srgap1,TRE
ENSMUSG00000020122,Egfr,TRE+NRE
ENSMUSG00000020123,Avpr1a,TRE
ENSMUSG00000020124,Usp15,TRE+NRE
ENSMUSG00000020125,Elane,TRE
ENSMUSG00000020128,Vps54,NRE
ENSMUSG00000020130,Tbc1d15,NRE
ENSMUSG00000020131,Pcsk4,TRE
ENSMUSG00000020132,Rab21,NRE
ENSMUSG00000020133,2310011J03Rik,NRE
ENSMUSG00000020134,Peli1,TRE+NRE
ENSMUSG00000020135,Apc2,TRE
ENSMUSG00000020137,Thap2,TRE+NRE
ENSMUSG00000020140,Lgr5,TRE
ENSMUSG00000020142,Slc1a4,NRE
ENSMUSG00000020143,Dock2,TRE+NRE
ENSMUSG00000020149,Rab1,NRE
ENSMUSG00000020150,Gamt,TRE
ENSMUSG00000020151,Ptprr,NRE
ENSMUSG00000020152,Actr2,TRE+NRE
ENSMUSG00000020153,Ndufs7,NRE
ENSMUSG00000020154,Ptprb,TRE+NRE
ENSMUSG00000020155,Kcnmb1,TRE
ENSMUSG00000020156,Mum1,TRE
ENSMUSG00000020159,Gabrp,TRE
ENSMUSG00000020160,Meis1,TRE+NRE
ENSMUSG00000020163,Uqcr11,NRE
ENSMUSG00000020166,Cnot2,NRE
ENSMUSG00000020167,Tcf3,TRE+NRE
ENSMUSG00000020168,Olfr299,not present
ENSMUSG00000020169,Best3,not present
ENSMUSG00000020170,Frs2,NRE
ENSMUSG00000020171,Yeats4,NRE
ENSMUSG00000020173,Cobl,TRE
ENSMUSG00000020175,Rab36,TRE
ENSMUSG00000020176,Grb10,TRE+NRE
ENSMUSG00000020177,9530003J23Rik,not detected
ENSMUSG00000020178,Adora2a,TRE
ENSMUSG00000020180,Snrpd3,NRE
ENSMUSG00000020181,Nav3,TRE
ENSMUSG00000020182,Ddc,NRE
ENSMUSG00000020183,Cpm,TRE+NRE
ENSMUSG00000020184,Mdm2,NRE
ENSMUSG00000020185,E2f7,TRE
ENSMUSG00000020186,Csrp2,NRE
ENSMUSG00000020189,Osbpl8,NRE
ENSMUSG00000020190,Mknk2,NRE
ENSMUSG00000020191,4930415F15Rik,TRE
ENSMUSG00000020193,Zpbp,TRE
ENSMUSG00000020196,Cabin1,NRE
ENSMUSG00000020198,Ap3d1,NRE
ENSMUSG00000020205,Phlda1,NRE
ENSMUSG00000020211,Sf3a2,TRE+NRE
ENSMUSG00000020212,Mdm1,TRE
ENSMUSG00000020213,Glipr1l1,TRE
ENSMUSG00000020214,Glipr1l2,TRE
ENSMUSG00000020216,Jsrp1,TRE
ENSMUSG00000020218,Wif1,TRE
ENSMUSG00000020219,Timm13,NRE
ENSMUSG00000020220,Vps13d,TRE+NRE
ENSMUSG00000020224,Llph,NRE
ENSMUSG00000020225,Tmbim4,NRE
ENSMUSG00000020226,Slc5a4b,TRE
ENSMUSG00000020227,Irak3,TRE+NRE
ENSMUSG00000020228,Helb,NRE
ENSMUSG00000020229,Slc5a4a,TRE
ENSMUSG00000020230,Prmt2,NRE
ENSMUSG00000020231,Dip2a,NRE
ENSMUSG00000020232,Hmg20b,NRE
ENSMUSG00000020234,4930404N11Rik,not detected
ENSMUSG00000020235,Fzr1,NRE
ENSMUSG00000020238,Ncln,NRE
ENSMUSG00000020241,Col6a2,NRE
ENSMUSG00000020246,Hcfc2,NRE
ENSMUSG00000020248,Nfyb,NRE
ENSMUSG00000020250,Txnrd1,NRE
ENSMUSG00000020251,Glt8d2,TRE
ENSMUSG00000020253,Ppm1m,NRE
ENSMUSG00000020255,D10Wsu102e,TRE+NRE
ENSMUSG00000020256,Aldh1l2,TRE
ENSMUSG00000020257,Wdr82,NRE
ENSMUSG00000020258,Glyctk,TRE
ENSMUSG00000020260,Pofut2,NRE
ENSMUSG00000020261,Slc36a1,NRE
ENSMUSG00000020262,Adarb1,TRE
ENSMUSG00000020263,Appl2,TRE+NRE
ENSMUSG00000020264,Slc36a2,TRE
ENSMUSG00000020265,Sumo3,NRE
ENSMUSG00000020267,Hint1,NRE
ENSMUSG00000020268,Lyrm7,TRE
ENSMUSG00000020270,1700008A04Rik,TRE
ENSMUSG00000020271,Fbxw11,NRE
ENSMUSG00000020272,Stk10,NRE
ENSMUSG00000020273,Papolg,NRE
ENSMUSG00000020275,Rel,TRE
ENSMUSG00000020277,Pfkl,NRE
ENSMUSG00000020279,Il9r,not detected
ENSMUSG00000020280,Pus10,NRE
ENSMUSG00000020282,Rhbdf1,NRE
ENSMUSG00000020283,Pex13,NRE
ENSMUSG00000020284,1810043G02Rik,NRE
ENSMUSG00000020286,1700093K21Rik,TRE
ENSMUSG00000020287,Mpg,NRE
ENSMUSG00000020288,Ahsa2,NRE
ENSMUSG00000020289,Nprl3,NRE
ENSMUSG00000020290,Xpo1,NRE
ENSMUSG00000020295,Hbq1a,not present
ENSMUSG00000020297,Nsg2,TRE
ENSMUSG00000020299,4930524B15Rik,TRE
ENSMUSG00000020300,Cpeb4,TRE+NRE
ENSMUSG00000020303,Stc2,TRE
ENSMUSG00000020305,Asb3,NRE
ENSMUSG00000020307,Cdc34,NRE
ENSMUSG00000020308,Gm16517,NRE
ENSMUSG00000020309,Chac2,NRE
ENSMUSG00000020310,Madcam1,TRE
ENSMUSG00000020311,Erlec1,NRE
ENSMUSG00000020312,Shc2,TRE
ENSMUSG00000020315,Spnb2,TRE+NRE
ENSMUSG00000020317,Theg,TRE
ENSMUSG00000020319,Wdpcp,TRE
ENSMUSG00000020321,Mdh1,NRE
ENSMUSG00000020323,Prss57,not present
ENSMUSG00000020325,Fstl3,TRE
ENSMUSG00000020326,Ccng1,NRE
ENSMUSG00000020327,Fgf22,not detected
ENSMUSG00000020328,Nudcd2,NRE
ENSMUSG00000020329,Polrmt,NRE
ENSMUSG00000020330,Hmmr,TRE+NRE
ENSMUSG00000020331,Hcn2,TRE
ENSMUSG00000020332,4930404A10Rik,TRE
ENSMUSG00000020333,Acsl6,NRE
ENSMUSG00000020334,Slc22a4,NRE
ENSMUSG00000020335,Zfp354b,TRE
ENSMUSG00000020340,Cyfip2,TRE+NRE
ENSMUSG00000020346,Mgat1,NRE
ENSMUSG00000020349,Ppp2ca,TRE+NRE
ENSMUSG00000020354,Sgcd,not detected
ENSMUSG00000020357,Flt4,NRE
ENSMUSG00000020358,Hnrnpab,TRE+NRE
ENSMUSG00000020359,Agxt2l2,NRE
ENSMUSG00000020361,Hspa4,TRE+NRE
ENSMUSG00000020362,Cnot6,NRE
ENSMUSG00000020363,Gfpt2,NRE
ENSMUSG00000020364,Zfp354a,TRE
ENSMUSG00000020366,Mapk9,NRE
ENSMUSG00000020368,Canx,NRE
ENSMUSG00000020372,Gnb2l1,NRE
ENSMUSG00000020374,Rasgef1c,TRE
ENSMUSG00000020375,Rufy1,NRE
ENSMUSG00000020376,Rnf130,NRE
ENSMUSG00000020377,Ltc4s,TRE
ENSMUSG00000020380,Rad50,NRE
ENSMUSG00000020381,3010026O09Rik,TRE
ENSMUSG00000020383,Il13,not detected
ENSMUSG00000020385,Clk4,NRE
ENSMUSG00000020386,Sar1b,NRE
ENSMUSG00000020387,Phf15,NRE
ENSMUSG00000020388,Pdlim4,NRE
ENSMUSG00000020389,Cdkl3,TRE
ENSMUSG00000020390,Ube2b,NRE
ENSMUSG00000020392,Cdkn2aipnl,NRE
ENSMUSG00000020393,Kremen1,NRE
ENSMUSG00000020395,Itk,TRE
ENSMUSG00000020396,Nefh,TRE
ENSMUSG00000020397,Med7,NRE
ENSMUSG00000020399,Havcr2,TRE
ENSMUSG00000020400,Tnip1,NRE
ENSMUSG00000020401,Fam71b,TRE
ENSMUSG00000020402,Vdac1,NRE
ENSMUSG00000020405,Fabp6,TRE
ENSMUSG00000020407,Upp1,TRE
ENSMUSG00000020409,Slu7,NRE
ENSMUSG00000020411,Nipal4,TRE
ENSMUSG00000020412,Ascc2,TRE+NRE
ENSMUSG00000020413,Hus1,NRE
ENSMUSG00000020415,Pttg1,NRE
ENSMUSG00000020419,Hormad2,TRE
ENSMUSG00000020420,Zfp607,not present
ENSMUSG00000020422,Tns3,TRE+NRE
ENSMUSG00000020423,Btg2,NRE
ENSMUSG00000020424,Gatsl3,NRE
ENSMUSG00000020427,Igfbp3,NRE
ENSMUSG00000020428,Gabra6,TRE
ENSMUSG00000020429,Igfbp1,TRE
ENSMUSG00000020430,Pes1,NRE
ENSMUSG00000020431,Adcy1,TRE
ENSMUSG00000020432,Tcn2,NRE
ENSMUSG00000020434,4921536K21Rik,TRE
ENSMUSG00000020435,Osbp2,TRE
ENSMUSG00000020436,Gabrg2,TRE
ENSMUSG00000020437,Myo1g,NRE
ENSMUSG00000020439,Smtn,NRE
ENSMUSG00000020440,Arf5,NRE
ENSMUSG00000020441,2310033P09Rik,NRE
ENSMUSG00000020444,Guk1,NRE
ENSMUSG00000020447,Npc1l1,TRE
ENSMUSG00000020448,Rnf185,NRE
ENSMUSG00000020451,Limk2,NRE
ENSMUSG00000020453,Patz1,TRE+NRE
ENSMUSG00000020454,Eif4enif1,NRE
ENSMUSG00000020455,Trim11,NRE
ENSMUSG00000020456,Ogdh,NRE
ENSMUSG00000020457,Drg1,NRE
ENSMUSG00000020458,Rtn4,TRE+NRE
ENSMUSG00000020459,Mtif2,NRE
ENSMUSG00000020460,Rps27a,NRE
ENSMUSG00000020461,1700034F02Rik,TRE
ENSMUSG00000020462,Ccdc104,NRE
ENSMUSG00000020463,Smek2,NRE
ENSMUSG00000020464,Pnpt1,NRE
ENSMUSG00000020467,Efemp1,NRE
ENSMUSG00000020469,Myl7,TRE
ENSMUSG00000020471,Pold2,NRE
ENSMUSG00000020472,Zkscan17,NRE
ENSMUSG00000020473,Aebp1,NRE
ENSMUSG00000020474,Polm,TRE
ENSMUSG00000020475,Pgam2,NRE
ENSMUSG00000020476,Dbnl,NRE
ENSMUSG00000020477,Mrps24,NRE
ENSMUSG00000020481,Ankrd36,TRE
ENSMUSG00000020482,Ccdc117,TRE+NRE
ENSMUSG00000020483,Dynll2,NRE
ENSMUSG00000020484,Xbp1,NRE
ENSMUSG00000020485,Supt4h1,NRE
ENSMUSG00000020486,Sept4,TRE+NRE
ENSMUSG00000020490,Btnl10,TRE
ENSMUSG00000020491,2810021J22Rik,TRE
ENSMUSG00000020492,Fam33a,NRE
ENSMUSG00000020493,Prr11,TRE
ENSMUSG00000020495,1200011M11Rik,NRE
ENSMUSG00000020496,Rnf187,NRE
ENSMUSG00000020513,Tubd1,TRE
ENSMUSG00000020514,Mrpl22,NRE
ENSMUSG00000020515,Cnot8,NRE
ENSMUSG00000020516,Rps6kb1,TRE+NRE
ENSMUSG00000020519,Sap30l,NRE
ENSMUSG00000020520,Galnt10,NRE
ENSMUSG00000020521,Rnft1,NRE
ENSMUSG00000020522,Mfap3,NRE
ENSMUSG00000020523,Fam114a2,NRE
ENSMUSG00000020524,Gria1,TRE
ENSMUSG00000020525,Ppm1d,TRE+NRE
ENSMUSG00000020526,Znhit3,NRE
ENSMUSG00000020527,Myo19,NRE
ENSMUSG00000020528,Prpsap2,NRE
ENSMUSG00000020530,Ggnbp2,NRE
ENSMUSG00000020532,Acaca,TRE
ENSMUSG00000020534,Shmt1,TRE+NRE
ENSMUSG00000020536,Llgl1,NRE
ENSMUSG00000020537,Drg2,NRE
ENSMUSG00000020538,Srebf1,NRE
ENSMUSG00000020541,Tom1l1,NRE
ENSMUSG00000020542,Myocd,TRE
ENSMUSG00000020544,Cox11,NRE
ENSMUSG00000020545,1700108M19Rik,TRE
ENSMUSG00000020546,Stxbp4,TRE+NRE
ENSMUSG00000020547,Bzw2,NRE
ENSMUSG00000020548,1700086D15Rik,NRE
ENSMUSG00000020549,Elac2,NRE
ENSMUSG00000020553,Pctp,TRE+NRE
ENSMUSG00000020561,Twistnb,TRE+NRE
ENSMUSG00000020562,Efcab10,TRE
ENSMUSG00000020564,Atxn7l1,TRE+NRE
ENSMUSG00000020566,Atp6v1c2,TRE
ENSMUSG00000020570,Sypl,NRE
ENSMUSG00000020571,Pdia6,NRE
ENSMUSG00000020572,Nampt,TRE+NRE
ENSMUSG00000020573,Pik3cg,TRE+NRE
ENSMUSG00000020576,Nbas,NRE
ENSMUSG00000020577,Tspan13,NRE
ENSMUSG00000020580,Rock2,NRE
ENSMUSG00000020581,Agr2,TRE
ENSMUSG00000020583,Matn3,TRE
ENSMUSG00000020585,Laptm4a,NRE
ENSMUSG00000020589,Fam49a,TRE+NRE
ENSMUSG00000020590,Snx13,NRE
ENSMUSG00000020591,Ntsr2,TRE
ENSMUSG00000020592,Sdc1,TRE+NRE
ENSMUSG00000020593,Lpin1,NRE
ENSMUSG00000020594,Pum2,NRE
ENSMUSG00000020598,Nrcam,TRE
ENSMUSG00000020599,Rgs9,TRE
ENSMUSG00000020600,Slc7a15,TRE
ENSMUSG00000020601,Trib2,NRE
ENSMUSG00000020604,Arsg,TRE
ENSMUSG00000020605,Hs1bp3,NRE
ENSMUSG00000020607,Fam84a,NRE
ENSMUSG00000020608,Smc6,NRE
ENSMUSG00000020609,Apob,TRE
ENSMUSG00000020610,Amz2,NRE
ENSMUSG00000020611,Gna13,TRE+NRE
ENSMUSG00000020612,Prkar1a,NRE
ENSMUSG00000020617,1700012B07Rik,TRE
ENSMUSG00000020620,Abca8b,TRE
ENSMUSG00000020621,Rdh14,NRE
ENSMUSG00000020622,Nt5c1b,TRE
ENSMUSG00000020623,Map2k6,TRE
ENSMUSG00000020627,Klhl29,TRE
ENSMUSG00000020628,Ttc15,TRE+NRE
ENSMUSG00000020629,Adi1,NRE
ENSMUSG00000020630,Rnaseh1,NRE
ENSMUSG00000020633,Dcdc2c,not detected
ENSMUSG00000020634,Ubxn2a,NRE
ENSMUSG00000020635,Fkbp1b,TRE
ENSMUSG00000020636,Allc,TRE
ENSMUSG00000020638,Cmpk2,TRE+NRE
ENSMUSG00000020639,Pfn4,not present
ENSMUSG00000020640,Itsn2,NRE
ENSMUSG00000020641,Rsad2,TRE+NRE
ENSMUSG00000020642,Rnf144a,NRE
ENSMUSG00000020644,Id2,NRE
ENSMUSG00000020646,Mboat2,NRE
ENSMUSG00000020647,Ncoa1,NRE
